"Year","Month","Demolition (MD 5.2)","Site Formation","Foundation","General building & Superstructure (MD5.4)","Total"
"2011","6","11","13","12","13","49"
"2011","7","7","12","10","10","39"
"2011","8","7","6","8","21","42"
"2011","9","9","8","7","16","40"
"2011","10","14","4","10","10","38"
"2011","11","20","9","13","10","52"
"2011","12","12","5","13","11","41"
"2012","1","17","6","9","14","46"
"2012","2","9","14","7","17","47"
"2012","3","17","6","18","15","56"
"2012","4","17","7","14","14","52"
"2012","5","8","11","8","13","40"
"2012","6","13","7","16","12","48"
"2012","7","15","10","11","20","56"
"2012","8","7","6","12","17","42"
"2012","9","12","10","6","25","53"
"2012","10","12","17","9","15","53"
"2012","11","12","14","13","10","49"
"2012","12","12","16","11","15","54"
"2013","1","13","2","11","16","42"
"2013","2","9","6","15","10","40"
"2013","3","13","6","7","22","48"
"2013","4","9","8","13","12","42"
"2013","5","3","10","9","11","33"
"2013","6","7","7","9","16","39"
"2013","7","10","7","10","17","44"
"2013","8","6","11","12","9","38"
"2013","9","9","7","14","11","41"
"2013","10","8","6","9","19","42"
"2013","11","14","16","12","15","57"
"2013","12","6","9","13","14","42"
"2014","1","17","7","17","9","50"
"2014","2","5","7","14","6","32"
"2014","3","9","8","15","8","40"
"2014","4","13","15","18","21","67"
"2014","5","12","10","12","18","52"
"2014","6","9","9","15","18","51"
"2014","7","10","15","16","14","55"
"2014","8","7","9","14","10","40"
"2014","9","8","10","15","12","45"
"2014","10","7","16","30","14","67"
"2014","11","5","10","17","9","41"
"2014","12","7","13","11","16","47"
"2015","1","11","9","18","16","54"
"2015","2","9","8","13","18","48"
"2015","3","5","11","9","19","44"
"2015","4","6","11","10","19","46"
"2015","5","8","9","10","17","44"
"2015","6","8","9","14","25","56"
"2015","7","8","10","11","12","41"
"2015","8","13","8","11","12","44"
"2015","9","7","8","15","16","46"
"2015","10","8","7","17","13","45"
"2015","11","6","7","10","7","30"
"2015","12","10","19","11","25","65"
"2016","1","11","4","12","11","38"
"2016","2","8","9","10","12","39"
"2016","3","9","12","19","17","57"
"2016","4","8","11","8","9","36"
"2016","5","4","9","11","9","33"
"2016","6","5","15","19","9","48"
"2016","7","7","12","14","13","46"
"2016","8","8","16","7","15","46"
"2016","9","5","14","13","15","47"
"2016","10","11","7","15","10","43"
"2016","11","5","9","10","12","36"
"2016","12","10","8","16","19","53"
"2017","1","8","7","13","13","41"
"2017","2","8","13","14","19","54"
"2017","3","7","9","13","13","42"
"2017","4","11","8","12","10","41"
"2017","5","13","7","16","11","47"
"2017","6","8","17","13","22","60"
"2017","7","7","10","9","15","41"
"2017","8","10","13","7","10","40"
"2017","9","6","7","12","10","35"
"2017","10","6","4","18","13","41"
"2017","11","13","13","17","10","53"
"2017","12","7","6","18","14","45"
"2018","1","6","6","11","10","33"
"2018","2","7","9","12","11","39"
"2018","3","10","8","18","10","46"
"2018","4","8","14","9","9","40"
"2018","5","7","6","12","11","36"
"2018","6","6","4","16","12","38"
"2018","7","7","7","9","9","32"
"2018","8","5","9","15","14","43"
"2018","9","1","7","16","11","35"
"2018","10","11","13","10","12","46"
"2018","11","5","13","13","11","42"
"2018","12","11","7","9","10","37"
"2019","1","9","7","15","12","43"
"2019","2","4","4","9","14","31"
"2019","3","11","7","8","9","35"
"2019","4","5","7","15","14","41"
"2019","5","6","7","14","13","40"
"2019","6","10","10","9","7","36"
"2019","7","14","9","14","16","53"
"2019","8","6","9","18","13","46"
"2019","9","5","10","22","14","51"
"2019","10","8","15","9","11","43"
"2019","11","8","11","17","10","46"
"2019","12","10","10","9","15","44"
"2020","1","7","2","12","5","26"
"2020","2","2","4","5","4","15"
"2020","3","12","9","11","10","42"
"2020","4","6","3","13","10","32"
"2020","5","10","9","11","12","42"
"2020","6","9","10","15","17","51"
"2020","7","5","9","7","15","36"
"2020","8","5","3","13","19","40"
"2020","9","6","11","16","13","46"
"2020","10","7","7","16","12","42"
"2020","11","14","7","12","12","45"
"2020","12","9","7","17","12","45"
"2021","1","7","2","13","14","36"
"2021","2","10","8","10","18","46"
"2021","3","9","10","16","13","48"
"2021","4","12","5","10","11","38"
"2021","5","9","11","8","10","38"
"2021","6","12","6","22","10","50"
"2021","7","5","7","16","7","35"
"2021","8","10","8","18","24","60"
"2021","9","9","6","14","13","42"
"2021","10","4","5","10","10","29"
"2021","11","12","10","21","14","57"
"2021","12","11","7","9","3","30"
"2022","1","10","7","12","8","37"
"2022","2","8","3","10","6","27"
"2022","3","14","3","12","15","44"
"2022","4","10","4","15","14","43"
"2022","5","9","7","16","12","44"
"2022","6","8","8","12","16","44"
"2022","7","5","5","10","9","29"
"2022","8","5","4","11","11","31"
"2022","9","6","6","12","7","31"
"2022","10","6","8","16","12","42"
"2022","11","11","5","12","11","39"
"2022","12","9","8","10","11","38"
"2023","1","7","2","13","10","32"
"2023","2","7","6","6","9","28"
"2023","3","9","3","10","26","48"
"2023","4","8","5","10","11","34"
"2023","5","9","10","12","14","45"
"2023","6","8","8","10","13","39"
"2023","7","5","7","12","9","33"
"2023","8","4","9","10","10","33"
"2023","9","13","4","9","7","33"
"2023","10","9","11","12","16","48"
"2023","11","9","3","11","15","38"
"2023","12","7","10","6","11","34"
"2024","1","8","4","11","6","29"
"2024","2","6","4","5","15","30"
"2024","3","11","9","9","6","35"
"2024","4","8","8","11","14","41"
"2024","5","7","6","9","10","32"
"2024","6","1","7","8","6","22"
"2024","7","5","3","7","9","24"
"2024","8","4","9","7","10","30"
"2024","9","9","4","9","11","33"
"2024","10","4","4","6","12","26"
"2024","11","4","5","3","6","18"
"2024","12","2","7","5","13","27"
"2025","1","6","7","5","7","25"
"2025","2","3","3","2","12","20"
"2025","3","9","3","7","10","29"
"2025","4","2","6","3","5","16"
"2025","5","3","7","7","7","24"
"2025","6","4","9","4","11","28"
"2025","7","4","2","8","16","30"
"2025","8","2","1","4","11","18"
"2025","9","4","9","9","8","30"
"2025","10","2","12","7","6","27"
"2025","11","6","9","4","5","24"
"2025","12","2","13","4","4","23"
"2026","1","4","8","11","5","28"
